TimeGenerated,EventID,AccountName,AccountDomain,LogonID,SourceIP,SourcePort,ShareName
2016-10-06 22:04:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x206b233,fe80::4888:72d0:4f06:d1a1,55794,\\*\SYSVOL
2016-10-06 22:04:18,5140,LOCAL SERVICE,NT AUTHORITY,0x3e5,fe80::4888:72d0:4f06:d1a1,55795,\\*\IPC$
2016-10-06 22:06:01,5140,WIN7_64JP_02$,EXAMPLE,0x206bdfb,192.168.16.102,49640,\\*\IPC$
2016-10-06 22:06:58,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x206c043,fe80::4888:72d0:4f06:d1a1,55803,\\*\IPC$
2016-10-06 22:06:58,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x206c043,fe80::4888:72d0:4f06:d1a1,55803,\\*\SYSVOL
2016-10-06 22:08:57,5140,WIN7_64JP_01$,EXAMPLE,0x206c40e,192.168.16.101,50288,\\*\IPC$
2016-10-06 22:12:02,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x206caf7,fe80::4888:72d0:4f06:d1a1,55811,\\*\SYSVOL
2016-10-06 22:14:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x206ce7c,fe80::4888:72d0:4f06:d1a1,55812,\\*\SYSVOL
2016-10-06 22:15:57,5140,WIN7_64JP_03$,EXAMPLE,0x206d441,192.168.16.103,49500,\\*\IPC$
2016-10-06 22:17:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x206d6f7,fe80::4888:72d0:4f06:d1a1,55818,\\*\SYSVOL
2016-10-06 22:19:18,5140,LOCAL SERVICE,NT AUTHORITY,0x3e5,fe80::4888:72d0:4f06:d1a1,55819,\\*\IPC$
2016-10-06 22:21:01,5140,WIN7_64JP_02$,EXAMPLE,0x206e38d,192.168.16.102,49643,\\*\IPC$
2016-10-06 22:22:10,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x206e645,fe80::4888:72d0:4f06:d1a1,55827,\\*\IPC$
2016-10-06 22:22:10,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x206e645,fe80::4888:72d0:4f06:d1a1,55827,\\*\SYSVOL
2016-10-06 22:23:57,5140,WIN7_64JP_01$,EXAMPLE,0x206ea0b,192.168.16.101,50307,\\*\IPC$
2016-10-06 22:24:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x206ea3d,fe80::4888:72d0:4f06:d1a1,55830,\\*\IPC$
2016-10-06 22:24:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x206ea3d,fe80::4888:72d0:4f06:d1a1,55830,\\*\SYSVOL
2016-10-06 22:27:14,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2070131,fe80::4888:72d0:4f06:d1a1,55836,\\*\SYSVOL
2016-10-06 22:30:57,5140,WIN7_64JP_03$,EXAMPLE,0x20708d3,192.168.16.103,49501,\\*\IPC$
2016-10-06 22:32:18,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2070b5e,fe80::4888:72d0:4f06:d1a1,55842,\\*\SYSVOL
2016-10-06 22:33:29,5140,chiyoda.tokyo,EXAMPLE,0x2070e65,192.168.16.101,50315,\\*\IPC$
2016-10-06 22:33:29,5140,chiyoda.tokyo,EXAMPLE,0x2070e65,192.168.16.101,50315,\\*\SYSVOL
2016-10-06 22:34:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2071388,fe80::4888:72d0:4f06:d1a1,55845,\\*\SYSVOL
2016-10-06 22:34:18,5140,LOCAL SERVICE,NT AUTHORITY,0x3e5,fe80::4888:72d0:4f06:d1a1,55846,\\*\IPC$
2016-10-06 22:36:01,5140,WIN7_64JP_02$,EXAMPLE,0x207184d,192.168.16.102,49646,\\*\IPC$
2016-10-06 22:37:22,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2071aea,fe80::4888:72d0:4f06:d1a1,55852,\\*\IPC$
2016-10-06 22:37:22,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2071aea,fe80::4888:72d0:4f06:d1a1,55852,\\*\SYSVOL
2016-10-06 22:38:57,5140,WIN7_64JP_01$,EXAMPLE,0x207200f,192.168.16.101,50325,\\*\IPC$
2016-10-06 22:40:36,5140,urayasu.chiba,EXAMPLE,0x20721aa,192.168.16.103,49508,\\*\IPC$
2016-10-06 22:40:36,5140,urayasu.chiba,EXAMPLE,0x20721aa,192.168.16.103,49508,\\*\SYSVOL
2016-10-06 22:40:43,5140,yokohama.kanagawa,EXAMPLE,0x2072236,192.168.16.102,49656,\\*\IPC$
2016-10-06 22:40:43,5140,yokohama.kanagawa,EXAMPLE,0x2072236,192.168.16.102,49656,\\*\SYSVOL
2016-10-06 22:42:26,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2072803,fe80::4888:72d0:4f06:d1a1,55860,\\*\SYSVOL
2016-10-06 22:44:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2072b35,fe80::4888:72d0:4f06:d1a1,55861,\\*\IPC$
2016-10-06 22:44:06,5140,WIN-WFBHIBE5GXZ$,EXAMPLE,0x2072b35,fe80::4888:72d0:4f06:d1a1,55861,\\*\SYSVOL
2016-10-06 22:45:57,5140,WIN7_64JP_03$,EXAMPLE,0x2072f7f,192.168.16.103,49509,\\*\IPC$
