TimeGenerated,EventID,ProviderName,Code,ProcessID,ProviderPath
2021-08-28 03:01:38,5857,CIMWin32,0x0,13132,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 03:01:38,5857,CIMWin32a,0x0,13132,%systemroot%\system32\wbem\wmipcima.dll
2021-08-28 03:06:50,5857,WmiPerfClass,0x0,5732,C:\Windows\System32\wbem\WmiPerfClass.dll
2021-08-28 03:06:51,5857,Win32_TpmProvider,0x0,17216,C:\Windows\System32\wbem\Win32_TPM.dll
2021-08-28 03:06:53,5857,Win32_DeviceGuard,0x0,17216,%SystemRoot%\System32\Win32_DeviceGuard.dll
2021-08-28 04:15:01,5857,CIMWin32,0x0,9904,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 04:15:01,5857,CIMWin32a,0x0,9904,%systemroot%\system32\wbem\wmipcima.dll
2021-08-28 04:39:11,5857,CIMWin32,0x0,8600,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 04:39:11,5857,CIMWin32a,0x0,8600,%systemroot%\system32\wbem\wmipcima.dll
2021-08-28 05:00:41,5857,CIMWin32,0x0,6704,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 05:00:41,5857,CIMWin32a,0x0,6704,%systemroot%\system32\wbem\wmipcima.dll
2021-08-28 14:14:22,5857,CIMWin32,0x0,9844,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 14:14:23,5857,CIMWin32a,0x0,9844,%systemroot%\system32\wbem\wmipcima.dll
2021-08-28 14:15:38,5857,CIMWin32,0x0,9844,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 14:17:10,5857,CIMWin32,0x0,1228,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 14:17:11,5857,SppProvider,0x0,1228,%SystemRoot%\System32\sppwmi.dll
2021-08-28 14:38:49,5857,CIMWin32,0x0,13204,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 14:38:49,5857,CIMWin32a,0x0,13204,%systemroot%\system32\wbem\wmipcima.dll
2021-08-28 14:57:17,5857,CIMWin32,0x0,5740,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 14:57:18,5857,CIMWin32a,0x0,5740,%systemroot%\system32\wbem\wmipcima.dll
2021-08-28 14:57:20,5857,UserProfileProvider,0x0,5740,%systemroot%\system32\profprov.dll
2021-08-28 14:59:21,5857,WMIProv,0x0,5732,%systemroot%\system32\wbem\wmiprov.dll
2021-08-28 15:20:04,5857,CIMWin32,0x0,5476,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 15:20:05,5857,MS_Power_Management_Event_Provider,0x0,5812,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 15:20:42,5857,CIMWin32,0x0,5244,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 15:20:43,5857,MS_Power_Management_Event_Provider,0x0,5628,%systemroot%\system32\wbem\cimwin32.dll
2021-08-28 15:20:52,5857,WmiPerfClass,0x0,5628,C:\Windows\System32\wbem\WmiPerfClass.dll
